fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995/TangoTek,Jimmy | Solidarity/Scott Major | Smajor1995,"a ribcage compressed / warmth, spilling over",M/M,Yes,Yes,09 Apr 2024,150,Teen And Up Audiences,No Archive Warnings Apply,"Pre-Relationship,kind of,Polyamory,Polyamory Negotiations,Misunderstandings,Husbands,Fluff,Flirting,TangoTek-centric (Video Blogging RPF),TangoTek Loves Jimmy | Solidarity,TangoTek Loves Scott Major | Smajor1995,Smitten TangoTek,Confident Scott Major | Smajor1995,First Dates,Sort Of,First Meetings,Again sort of,Tango is very smitten and Jimmy and Scott are very into him,some mild innuendos,Banter,Alternate Universe - Flower Shop,Alternate Universe - Human,flower ranchers my beloveds,Chromia scott,Tumbletown Jimmy,but youll never guess what the empires are in this au,/j"
3rd Life | Last Life SMP Series,Jimmy | Solidarity & Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,"a twisted ""I love you""",M/M,Yes,Yes,25 Mar 2023,150,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Angst,Past Lives,Memories,Emotional Hurt,Hurt No Comfort,Limited Life - Freeform,Limited Life - Session 4,..i think,no beta we die like skizz"
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,When Jimmy's Had Enough,M/M,Yes,Yes,06 Mar 2023,150,General Audiences,Creator Chose Not To Use Archive Warnings,"Canon Temporary Character Death,He'll be fine though,Hurt/Eventual Comfort,Jimmy | Solidarity Needs a Hug,Scott | Smajor1995 | Dangthatsalongname Needs a Hug,they both get a hug,they hug each other,I Wrote This Instead of Sleeping"
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Killer Queen,M/M,Yes,Yes,30 Nov 2022,150,Explicit,No Archive Warnings Apply,"Alpha/Beta/Omega Dynamics,Aftercare,Mating Cycles/In Heat,Biting,Marking,Scratching,Nesting,alpha Jimmy solidarity,Omega Scott,Winged Scott | Smajor1995 | Dangthatsalongname,Alpha/Omega,bottom Scott smajor,top Jimmy solidarity"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,"Rats,Fields and Poppies",M/M,Yes,Yes,20 Oct 2022,150,General Audiences,No Archive Warnings Apply,Fluff
Minecraft (Video Game),Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Good Morning To The Warmth On Your Hands,M/M,Yes,Yes,02 Apr 2022,150,Not Rated,Creator Chose Not To Use Archive Warnings,"Pining,Married Life,but like scott forgot,Afterlife,disbelief,Fluff,Fluff and Hurt/Comfort,Fluff without Plot,Fluff and Mush,Flower Husbands"
Origins SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,The flowers and stars find wings and accept them.,M/M,Yes,Yes,21 Mar 2022,155,Teen And Up Audiences,No Archive Warnings Apply,"I wanted another Scott and Jimmy parent Grian fanfic,Fluff,memories of a past life,Rating May Change,the title might change,one swear word so far but it’s origins what do you think will happen,Might be angst later idk,Tommy and Fundy are just mentioned so far"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,Gifts,M/M,Yes,Yes,05 Mar 2023,154,General Audiences,No Archive Warnings Apply,"Limited Life SMP - Freeform,Fluff,dolphin scott smajor,i can spell dolhpin i swear"
Minecraft (Video Game),Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,"First, Cain Loved Abel",M/M,Yes,Yes,23 Jan 2023,154,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Fluff and Angst,Suggestive Themes"
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,The Rivendell Feast Cafe,M/M,Yes,Yes,18 Dec 2022,154,Not Rated,No Archive Warnings Apply,"Alternate Universe - College/University,but thats not important,Alternate Universe - Modern Setting,theyre gay your honor,xornoth is not a demon,Fluff,Angst,Fluff and Angst,flower husbands my beloved"
