value,count
Hate to Love,25
Alpha Steve Rogers,25
Stucky - Freeform,25
Past Sexual Abuse,25
Triggers,25
Grinding,25
Family Bonding,25
Breast Fucking,25
Sibling Incest,25
Sexual Assault,25
Awkward Sexual Situations,25
Murder Mystery,25
Non-Consensual Touching,25
Consensual Infidelity,25
Gay Male Character,25
Implied/Referenced Cheating,25
Oblivious Harry,25
Feelings Realization,25
Bittersweet Ending,25
HP: Epilogue Compliant,25
Book 5: Harry Potter and the Order of the Phoenix,25
Minor Harry Potter/Ginny Weasley,25
Getting to Know Each Other,25
Harry Potter is a Horcrux,25
Bisexual Remus Lupin,25
not team Cap friendly,25
Devoted Rey/Ben Solo | Kylo Ren,25
Dominant Ben Solo,25
Self-Discovery,24
Literal Sleeping Together,24
Cross-Posted on FanFiction.Net,24
Love Potion/Spell,24
Cutting,24
Fighting,24
BAMF Natasha Romanov,24
Tony Stark Is a Good Bro,24
Tony Stark-centric,24
UST,24
Bathing/Washing,24
Threats of Rape/Non-Con,24
Dream Sex,24
Car Sex,24
Memory Alteration,24
Male-Female Friendship,24
Discussion of Abortion,24
Family Issues,24
Imprisonment,24
Sad with a Happy Ending,24
Dildos,24
Sex Magic,24
Gore,24
Grooming,24
Teen Angst,24
Femdom,24
Fanart,24
Impregnation,24
Magical Bond,24
Magical Tattoos,24
Bottom Draco,24
Veela Mates,24
Mentor Severus Snape,24
Creature Harry Potter,24
The Deathly Hallows,24
Hogwarts Professors,24
Black Hermione Granger,24
Pining Hermione Granger,24
Voice Kink,24
Parseltongue,24
Scott | Smajor1995 | Dangthatsalongname-centric,24
Accidental Pregnancy,23
Body Worship,23
High School AU,23
Prompt Fill,23
Come Marking,23
Emotional Infidelity,23
One Shot Collection,23
Dating,23
but not really,23
Alternate Universe - Student/Teacher,23
Rope Bondage,23
Group Sex,23
BAMF Darcy Lewis,23
Team Bonding,23
Pack Dynamics,23
Kid Peter Parker,23
Vibrators,23
Teen Peter Parker,23
Slavery,23
Sequel,23
sorry - Freeform,23
Lingerie,23
Drunken Shenanigans,23
Butt Plugs,23
Embedded Images,23
Edgeplay,23
Het,23
Tony Stark is Good With Kids,23
Infertility,23
Bathroom Sex,23
Post-Break Up,23
Gift Fic,23
Mild Gore,23
Jealous Louis,23
Sad Ending,23
Secret Crush,23
Time Skips,23
Dirty Thoughts,23
Parent/Child Incest,23
Marriage Contracts,23
Prophecy,23
Hermione Granger is a Good Friend,23
Top Severus Snape,23
BAMF Draco Malfoy,23
POV Sirius Black,23
Potions Master Draco Malfoy,23
Gringotts Wizarding Bank,23
Quidditch Player Draco Malfoy,23
Severitus | Severus Snape is Harry Potter's Parent,23
Wizarding Politics (Harry Potter),23
Consensual Somnophilia,23
Evil Albus Dumbledore,23
Married Life,23
POV Remus Lupin,23
Ocean Empire on Empires SMP Setting (Video Blogging RPF),23
Canary Hybrid Jimmy | Solidarity,23
Blaze Hybrid TangoTek (Video Blogging RPF),23
Modern Marauders (Harry Potter),23
Alternate Universe- non magic,23
Team Tony,23
Reylo Baby,23
Exes,22
Alternate Universe - Werewolf,22
Alternate Universe - Canon,22
Emotional Constipation,22
Legilimency,22
Attempted Murder,22
Alternate Universe - Mob,22
Breastfeeding,22
Additional Warnings In Author's Note,22
Bromance,22
Insomnia,22
Language,22
Facials,22
Fuck Or Die,22
Body Horror,22
Snark,22
Declarations Of Love,22
Bisexual Male Character,22
Fake Dating,22
Supportive Narcissa Black Malfoy,22
Past Harry Potter/Ginny Weasley,22
Pureblood Hermione Granger,22
Harry Potter Needs a Hug,22
Animal Death,22
Remus Lupin Needs a Hug,22
Abusive Dursley Family (Harry Potter),22
Creature Inheritance,22
Parrot Hybrid Charles | Grian,22
Bryce | fWhip and GeminiTay are Siblings,22
Hybrids,22
Virgin Kylo Ren,22
Redeemed Ben Solo,22
Alternate Universe - Actors,21
Neighbors,21
Mentions of Suicide,21
Past Alcohol Abuse/Alcoholism,21
Sex Pollen,21
Slut Shaming,21
Football | Soccer,21
Mistaken Identity,21
Scent Marking,21
Road Trips,21
Unresolved Romantic Tension,21
Steve Rogers Feels,21
Hand Feeding,21
Rape Aftermath,21
Tony Stark Does What He Wants,21
Gangbang,21
I promise,21
Consensual Kink,21
Temporary Amnesia,21
Peter Parker Has a Family,21
Fantasy,21
Engagement,21
Developing Friendships,21
Not Steve Rogers Friendly,21
Action,21
Dubious Morality,21
Other Ships Not Mentioned in Tags,21
Closeted Character,21
Terminal Illnesses,21
Hopeful Ending,21
Top Louis Tomlinson,21
Sexuality Crisis,21
trigger warning,21
Growing Up,21
Book 7: Harry Potter and the Deathly Hallows,21
Magical Pregnancy,21
Professor Draco Malfoy,21
The Golden Trio,21
Unspeakable Hermione Granger,21
Good Malfoy Family (Harry Potter),21
Tattooed Draco Malfoy,21
Hogwarts Fourth Year,21
Discord: Hearts & Cauldrons SSHG Server,21
Potions Master Severus Snape,21
Charles | Grian-centric,21
Post-Star Wars: The Last Jedi,21
Alternate Universe - Future,20
Drabble Collection,20
New Year's Eve,20
I Will Go Down With This Ship,20
Major character death - Freeform,20
Everybody Lives,20
Cockwarming,20
Oops,20
Time Loop,20
Confessions,20
Hallucinations,20
Omega Bucky Barnes,20
Clint Barton Is a Good Bro,20
Bucky Barnes Recovering,20
Natasha Romanov Is Not A Robot,20
Hydra (Marvel),20
Homelessness,20
Dorks in Love,20
Brainwashing,20
Non-Consensual Body Modification,20
Illnesses,20
Consent Issues,20
Sick Character,20
Work In Progress,20
Bad BDSM Etiquette,20
Face Slapping,20
This Is Why We Can't Have Nice Things,20
Substance Abuse,20
Anorexia,20
Sexy Times,20
Peter is a Little Shit,20
Sexual Roleplay,20
Submission,20
Peter Parker Gets a Hug,20
OT5,20
Bickering,20
OT5 Friendship,20
Alpha Harry,20
Public Blow Jobs,20
Trans Female Character,20
Auror Hermione Granger,20
Magical Theory (Harry Potter),20
Aurors,20
Protective Harry Potter,20
Severus Snape-centric,20
Sexual Harassment,20
Language of Flowers,20
Nipple Licking,20
First Wizarding War with Voldemort (Harry Potter),20
Cowgirl Position,20
Past Lives,20
Bryce | fWhip and GeminiTay and MythicalSausage are Siblings,20
Avian Jimmy | Solidarity,20
empires smp - Freeform,20
Tony Stark Lives,20
Alternate Universe - Neighbors,19
Isolation,19
Alternate Universe - Modern with Magic,19
Growing Up Together,19
Tags Are Hard,19
Coffee Shops,19
NSFW,19
Baby,19
Wizarding Wars (Harry Potter),19
Top Steve Rogers,19
Post-Avengers (2012),19
Mind Manipulation,19
Dom/sub Play,19
Canon Divergence - Avengers: Endgame (Movie),19
Open Relationships,19
Safe Sane and Consensual,19
Avengers: Endgame (Movie) Spoilers,19
Polyamory Negotiations,19
Sign Language,19
Party,19
Caning,19
Wet Dream,19
Implied/Referenced Underage Sex,19
Restraints,19
Age Play,19
Kidnapped Peter Parker,19
Memes,19
Possession,19
Guns,19
Shibari,19
Self-Doubt,19
My First Fanfic,19
